0.405, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 1, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.436, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 3, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.433, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 1, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.401, {'P0P_ksize': 3, 'L2_unit': 200, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 5, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.304, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 5, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.416, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 5, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.440, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 7, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.421, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 7, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.436, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 7, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.330, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 7, 'P2C_feature': 8, 'N_PLayers': 3, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.410, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 32, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 7, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.395, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 7, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 5}
